id,company,street,misc,zipcode,city,country,phone_company,fax_company,created
1,Gasthaus Pfeiffer,Mühlenweg 2,,34281,Gudensberg,Deutschland,56032102,,0000-00-00
2,Gasthaus Pfeiffer,Mühlenweg 2,,34281,Gudensberg,Deutschland,56032102,,0000-00-00
16,,,,34281,,Deutschland,,,0000-00-00
17,,,,41542,,Deutschland,,,0000-00-00
