id,counter_id,reading,temperature,date,remark
274,2,41153.3516,4,2008-12-24 10:14:23,
275,1,24041.5996,-2,2008-12-26 11:16:15,
276,2,41248.0000,-2,2008-12-26 11:16:15,Do Saal Brunch
277,1,24079.4004,-3,2008-12-27 08:07:19,
278,2,41272.0000,-3,2008-12-27 08:07:19,
279,1,24132.8008,-3,2008-12-28 09:04:15,
280,2,41315.0000,-3,2008-12-28 09:04:15,
281,1,24187.5000,-6,2008-12-29 08:51:46,So Kombidämpfer 
282,2,41358.6797,-6,2008-12-29 08:51:46,
283,1,24253.9004,-5,2008-12-30 11:48:33,Mo Vorbereitung Partyservice
284,2,41410.9883,-5,2008-12-30 11:48:33,
285,3,2097.0000,-5,2008-12-30 11:48:33,
286,4,1817.0000,-5,2008-12-30 11:48:33,
287,1,24292.0000,-11,2008-12-31 08:58:06,
288,2,41455.3594,-11,2008-12-31 08:58:06,
289,1,24348.1992,-5,2009-01-01 09:55:34,MI Partyservice
290,2,41504.0000,-5,2009-01-01 09:55:34,
291,1,24386.6992,-2,2009-01-02 08:47:40,
292,2,41543.8594,-2,2009-01-02 08:47:40,
293,1,24440.6992,-14,2009-01-03 09:17:24,Fr Brotbackautomat
294,2,41590.4414,-14,2009-01-03 09:17:24,
295,1,24489.3008,-2,2009-01-04 08:28:54,
296,2,41641.3789,-2,2009-01-04 08:28:54,
297,1,24531.0996,-3,2009-01-05 09:31:40,
298,2,41689.7617,-3,2009-01-05 09:31:40,
299,1,24576.9004,-15,2009-01-06 08:48:17,
300,2,41738.3008,-15,2009-01-06 08:48:17,
301,1,24608.9004,-14,2009-01-07 08:37:22,
302,2,41798.6992,-14,2009-01-07 08:37:22,
303,1,24638.0000,-7,2009-01-08 08:30:49,
304,2,41860.3008,-7,2009-01-08 08:30:49,
305,1,24693.0000,-13,2009-01-09 08:43:59,
306,2,41927.1719,-13,2009-01-09 08:43:59,
307,1,24757.1992,-4,2009-01-11 15:42:41,
308,2,42056.3008,-4,2009-01-11 15:42:41,
309,1,24778.1992,-9,2009-01-12 08:05:39,
310,2,42098.5000,-9,2009-01-12 08:05:39,
311,1,24816.5996,-1,2009-01-13 09:27:56,
312,2,42156.4414,-1,2009-01-13 09:27:56,
313,3,2148.0000,-1,2009-01-13 09:27:56,
